nombreRegion,country,region_id
Toro,Espana,1
Vino de Espana,Espana,2
Ribera del Duero,Espana,3
Montilla-Moriles,Espana,4
Jumilla,Espana,5
Jerez-Xeres-Sherry,Espana,6
Priorato,Espana,7
Rioja,Espana,8
Bierzo,Espana,9
Castilla y Leon,Espana,10
Campo de Borja,Espana,11
Cadiz,Espana,12
Cava,Espana,13
Jerez Palo Cortado,Espana,14
Manzanilla,Espana,15
Valdeorras,Espana,16
Emporda,Espana,17
Rioja Alta,Espana,18
Alicante,Espana,19
Somontano,Espana,20
Dominio de Valdepusa,Espana,21
Ribeiro,Espana,22
Mallorca,Espana,23
Yecla,Espana,24
Cigales,Espana,25
Utiel-Requena,Espana,26
Navarra,Espana,27
Rioja Alavesa,Espana,28
Costers del Segre,Espana,29
Sardon de Duero,Espana,30
Malaga,Espana,31
Cataluna,Espana,32
Rueda,Espana,33
Jerez Pedro Ximenes (PX),Espana,34
Montsant,Espana,35
Conca de Barbera,Espana,36
Rias Baixas,Espana,37
Jerez Amontillado,Espana,38
Tierra del Vino de Zamora,Espana,39
Penedes,Espana,40
Dehesa del Carrizal,Espana,41
Madrid,Espana,42
Carinena,Espana,43
Condado de Huelva,Espana,44
Almansa,Espana,45
Jerez Cream,Espana,46
Valencia,Espana,47
Sierras de Malaga,Espana,48
Ribeira Sacra,Espana,49
El Terrerazo,Espana,50
Jerez Oloroso,Espana,51
Castilla,Espana,52
Alella,Espana,53
Pla i Llevant,Espana,54
Pla de Bages,Espana,55
Pago Calzadilla,Espana,56
Andalucia,Espana,57
Monterrei,Espana,58
Ribera del Gallego-Cinco Villas,Espana,59
Aragon,Espana,60
Galicia,Espana,61
La Palma,Espana,62
Binissalem-Mallorca,Espana,63
Calatayud,Espana,64
Arinzano,Espana,65
Tarragona,Espana,66
Extremadura,Espana,67
Murcia,Espana,68
La Mancha,Espana,69
Otazu,Espana,70
Valdejalon,Espana,71
Mentrida,Espana,72
Terra Alta,Espana,73
Arribes,Espana,74
Gran Canaria,Espana,75
Abona,Espana,76
