wine_year,total_wines
2016,216
2017,205
2015,181
2018,158
2014,140
2011,88
2012,84
2019,81
2010,68
2013,58
2009,39
2005,35
2004,33
2007,33
2008,28
2006,24
2001,21
2020,17
2000,17
2003,13
1998,12
1994,12
2002,12
1996,11
1995,11
1999,10
1982,7
1985,7
1986,6
1989,6
1964,6
1970,5
1987,5
1968,5
2021,5
1981,4
1973,3
1997,3
1991,3
1962,2
1959,2
1990,2
1965,2
1979,2
1946,2
1983,2
1955,2
1980,2
1975,2
1988,2
1931,1
1929,1
1974,1
1972,1
1953,1
1958,1
1910,1
1961,1
1954,1
1967,1
1969,1
1951,1
1928,1
1976,1
1949,1
1942,1
1992,1
1922,1
1978,1
1925,1
